dataset,representation,global_prototype_mean,protofill_mean,paired_gain,positive_runs,seeds
BioDCASE,MTRCNN-DG,0.352673969873986,0.3891832296633058,0.03650925978931979,3/3,42|43|44
BioDCASE,PANNs,0.17331095933655485,0.23420536841688402,0.06089440908032918,3/3,42|43|44
BioDCASE,AST,0.1409402214447726,0.2014307392010879,0.06049051775631529,3/3,42|43|44
BioDCASE,EfficientAT,0.21882384826420564,0.22818208298499318,0.009358234720787515,3/3,42|43|44
BioDCASE,BEATs,0.23562922492554342,0.245738771347398,0.010109546421854576,3/3,42|43|44
BioDCASE,Perch,0.2569796841039702,0.2988802340157606,0.04190054991179041,3/3,42|1234|2023
BioDCASE,BirdMAE artifact,0.19644279122628547,0.32465860110931793,0.1282158098830324,3/3,42|1234|2023
BioDCASE,WbNet-ResAtt,0.24088774152807202,0.28902794218070255,0.048140200652630506,3/3,42|43|44
BioDCASE,WbNet-EfficientNet,0.16181259375945148,0.26072273055022516,0.09891013679077365,3/3,42|43|44
CREMA-D,MTRCNN-DG,0.5456467022498449,0.5777662379874123,0.03211953573756746,3/3,42|43|44
CREMA-D,PANNs,0.6396411458651224,0.6673162314626907,0.02767508559756811,3/3,42|43|44
CREMA-D,AST,0.520881884627872,0.5757689459456338,0.05488706131776174,3/3,42|43|44
